0,32,32,sas,1700
1,16,1,sata,800
2,4,4,sas,350
3,8,2,sas,1400
4,16,8,sas,300
5,1,8,sata,600
6,1,1,sas,550
7,8,64,sas,2000
8,8,2,ssd,200
9,1,1,sata,100
10,16,64,sata,250
11,8,16,ssd,400
12,8,32,sata,1250
13,1,1,sas,1750
14,32,32,sata,100
15,1,32,ssd,950
16,2,1,ssd,250
17,16,2,ssd,450
18,1,1,sata,1450
19,16,4,ssd,300
20,16,4,sas,750
21,2,4,sas,250
22,2,32,ssd,500
23,4,2,ssd,1000
24,1,4,sata,200
25,1,8,ssd,700
26,32,128,sata,300
27,32,8,sas,550
28,8,128,sata,600
29,4,1,ssd,150
30,1,4,sata,100
31,8,8,ssd,1600
32,4,1,sata,1550
33,16,2,sas,350
34,2,4,sata,400
35,32,2,sata,150
36,4,32,sas,650
37,32,1,ssd,1450
38,32,32,sata,950
39,16,1,sata,800
40,32,64,sata,650
41,2,64,sas,400
42,4,32,sas,1350
43,8,32,sata,1200
44,8,16,sata,1350
45,4,1,sas,1900
46,16,4,sata,750
47,4,1,ssd,2000
48,8,4,ssd,1450
49,4,128,sata,2000
50,32,2,ssd,50
51,16,8,sata,1600
52,16,8,sas,1400
53,2,2,sas,200
54,16,32,sas,750
55,8,2,ssd,550
56,16,1,sata,100
57,2,16,sata,1850
58,4,64,sas,650
59,2,8,sata,1500
60,2,128,sata,650
61,1,32,sas,1700
62,4,2,ssd,850
63,32,128,ssd,1550
64,4,4,sas,1000
65,2,16,sata,950
66,8,32,sata,1600
67,16,4,sata,1850
68,2,16,sas,950
69,1,32,sata,1300
70,16,1,ssd,1700
71,1,32,sata,50
72,1,8,sata,400
73,1,8,sata,1050
74,4,32,sata,1750
75,32,2,sata,350
76,16,2,sas,50
77,16,128,sata,900
78,4,2,ssd,1950
79,32,2,sas,1000
80,8,4,sas,250
81,8,8,ssd,700
82,1,16,sata,550
83,2,64,sata,750
84,1,8,sas,1050
85,8,1,sas,550
86,1,32,ssd,2000
87,8,1,sas,350
88,1,128,sata,1600
89,1,1,sata,350
90,4,4,sas,200
91,2,4,sata,1200
92,16,64,sata,1700
93,32,64,sas,350
94,4,4,sas,1350
95,2,64,ssd,850
96,1,4,sata,250
97,2,32,sata,150
98,16,2,ssd,750
99,16,128,sas,1550
